route_id,origin,facility_name,distance_miles,shipments,otif_rate,exception_rate,avg_delay_hours,cost_variance,priority_score
RT080,Detroit MI,Houston DC,2161,478,0.7594142259414226,0.2196652719665272,3.687112970711297,55535.05,38.72384937238494
RT023,Laredo TX,Ontario DC,2196,429,0.7412587412587412,0.24708624708624707,3.75030303030303,50096.72,38.449403717569496
RT118,El Paso TX,Phoenix DC,1804,476,0.7752100840336135,0.20168067226890757,2.978340336134454,50185.72,35.47899232484861
RT106,Nashville TN,Houston DC,2099,446,0.7825112107623319,0.20179372197309417,3.506816143497758,50842.14,35.31665505204339
RT081,Charlotte NC,Phoenix DC,1980,482,0.7821576763485477,0.2157676348547718,3.2532157676348548,48669.31,34.902939643279595
RT111,Nashville TN,Chicago DC,1776,471,0.7791932059447984,0.19745222929936307,3.1977070063694266,49447.14,34.888222569702066
RT110,Nashville TN,Bentonville DC,1463,485,0.7546391752577319,0.23505154639175257,3.6341649484536083,42765.35,34.77234460744615
RT054,Newark NJ,Columbus DC,1759,435,0.7494252873563219,0.22758620689655173,3.692068965517241,42219.12,34.675759546986725
RT095,Salt Lake City UT,Houston DC,1420,470,0.7510638297872341,0.225531914893617,3.7395531914893616,41929.68,34.43004553938306
RT031,Memphis TN,Atlanta DC,1739,454,0.7577092511013216,0.2026431718061674,3.246013215859031,44442.61,34.39731762129966
RT120,El Paso TX,Allentown DC,1760,460,0.7739130434782608,0.21739130434782608,3.6508478260869563,45738.52,34.34151221302739
RT065,Louisville KY,Houston DC,2146,469,0.7953091684434968,0.19402985074626866,2.902686567164179,50184.88,34.18196963258201
RT051,Newark NJ,Savannah Import Center,2067,433,0.7782909930715936,0.19861431870669746,3.2007852193995383,46816.17,34.01939759105963
RT037,Kansas City MO,Denver DC,2179,488,0.8012295081967213,0.18237704918032788,2.7990163934426233,51207.02,33.93313717502966
RT112,Nashville TN,Atlanta DC,1553,472,0.777542372881356,0.2033898305084746,2.8740466101694913,45953.24,33.869189991542825
RT005,Los Angeles CA,Allentown DC,1509,482,0.7717842323651453,0.2095435684647303,2.8653526970954353,44563.16,33.83911759236974
RT115,El Paso TX,Ontario DC,1519,456,0.7763157894736842,0.21052631578947367,3.0103728070175437,45069.63,33.79684715707515
RT078,Detroit MI,Chicago DC,2037,492,0.7987804878048781,0.18902439024390244,3.088861788617886,49824.75,33.736215884844064
RT010,Savannah GA,Denver DC,1465,421,0.7458432304038005,0.24228028503562946,3.332232779097387,37852.01,33.66738453448204
RT104,Omaha NE,Ontario DC,1640,448,0.7723214285714286,0.20758928571428573,3.225,43794.89,33.48403540992516
RT084,Charlotte NC,Allentown DC,2173,452,0.7809734513274337,0.1902654867256637,2.84429203539823,46318.59,33.48394664660992
RT045,Seattle WA,Long Beach Import Center,1727,460,0.782608695652174,0.19130434782608696,3.4580869565217394,46184.06,33.37153105385111
RT090,Salt Lake City UT,Allentown DC,1465,476,0.7647058823529411,0.22478991596638656,3.654936974789916,40747.83,33.23555957760313
RT042,Seattle WA,Columbus DC,1894,443,0.781038374717833,0.20316027088036118,3.125959367945824,44635.18,33.19649409662569
RT092,Salt Lake City UT,Phoenix DC,1768,454,0.7731277533039648,0.21365638766519823,3.3030396475770925,42366.04,33.07678916843273
RT093,Salt Lake City UT,Ontario DC,1637,480,0.7875,0.19166666666666668,2.8742500000000004,45696.69,32.93604930204739
